year,rank,title,genre,total_gross
2015,1,Jurassic World,Dinosaur Adventure,"$652,270,625"
2015,1,Jurassic World,Jungle Adventure,
2015,1,Jurassic World,Action,
2015,1,Jurassic World,Adventure,
2015,1,Jurassic World,Sci-Fi,
2015,2,Star Wars: Episode VII - The Force Awakens,Action Epic,"$936,662,225"
2015,2,Star Wars: Episode VII - The Force Awakens,Adventure Epic,
2015,2,Star Wars: Episode VII - The Force Awakens,Epic,
2015,2,Star Wars: Episode VII - The Force Awakens,Quest,
2015,2,Star Wars: Episode VII - The Force Awakens,Sci-Fi Epic,
2015,2,Star Wars: Episode VII - The Force Awakens,Space Sci-Fi,
2015,2,Star Wars: Episode VII - The Force Awakens,Action,
2015,2,Star Wars: Episode VII - The Force Awakens,Adventure,
2015,2,Star Wars: Episode VII - The Force Awakens,Sci-Fi,
2015,3,Avengers: Age of Ultron,Artifical Intelligence,"$459,005,868"
2015,3,Avengers: Age of Ultron,Superhero,
2015,3,Avengers: Age of Ultron,Urban Adventure,
2015,3,Avengers: Age of Ultron,Action,
2015,3,Avengers: Age of Ultron,Adventure,
2015,3,Avengers: Age of Ultron,Sci-Fi,
2015,4,Inside Out,Coming-of-Age,"$356,461,711"
2015,4,Inside Out,Psychological Drama,
2015,4,Inside Out,Adventure,
2015,4,Inside Out,Animation,
2015,4,Inside Out,Comedy,
2015,4,Inside Out,Drama,
2015,4,Inside Out,Family,
2015,4,Inside Out,Fantasy,
2015,5,Furious 7,Car Action,"$353,007,020"
2015,5,Furious 8,Action,
2015,5,Furious 9,Thriller,
2015,6,American Sniper,Docudrama,"$350,126,372"
2015,6,American Sniper,Psychological Drama,
2015,6,American Sniper,Action,
2015,6,American Sniper,Biography,
2015,6,American Sniper,Drama,
2015,6,American Sniper,War,
2015,7,Minions,Dark Comedy,"$336,045,770"
2015,7,Minions,Farce,
2015,7,Minions,Quest,
2015,7,Minions,Satire,
2015,7,Minions,Slapstick,
2015,7,Minions,Adventure,
2015,7,Minions,Animation,
2015,7,Minions,Comedy,
2015,7,Minions,Crime,
2015,8,The Hunger Games: Mockingjay - Part 2,Dystopian Sci-Fi,"$281,723,902"
2015,8,The Hunger Games: Mockingjay - Part 2,Teen Adventure,
2015,8,The Hunger Games: Mockingjay - Part 2,Action,
2015,8,The Hunger Games: Mockingjay - Part 2,Adventure,
2015,8,The Hunger Games: Mockingjay - Part 2,Sci-Fi,
2015,8,The Hunger Games: Mockingjay - Part 2,Thriller,
2015,9,The Martian,Space Sci-Fi,"$228,433,663"
2015,9,The Martian,Survival,
2015,9,The Martian,Adventure,
2015,9,The Martian,Drama,
2015,9,The Martian,Sci-Fi,
2015,10,Cinderella,Fairy Tale,"$201,151,353"
2015,10,Cinderella,Supernatural Fantasy,
2015,10,Cinderella,Adventure,
2015,10,Cinderella,Drama,
2015,10,Cinderella,Family,
2015,10,Cinderella,Fantasy,
2015,10,Cinderella,Romance,
2016,1,Finding Dory,Animal Adventure,"$486,295,561"
2016,1,Finding Dory,Sea Adventure,
2016,1,Finding Dory,Adventure,
2016,1,Finding Dory,Animation,
2016,1,Finding Dory,Comedy,
2016,1,Finding Dory,Family,
2016,1,Finding Dory,Fantasy,
2016,1,Finding Dory,Mystery,
2016,2,Rogue One: A Star Wars Story,Action Epic,"$532,177,324"
2016,2,Rogue One: A Star Wars Story,Adventure Epic,
2016,2,Rogue One: A Star Wars Story,Dystopian Sci-Fi,
2016,2,Rogue One: A Star Wars Story,Epic,
2016,2,Rogue One: A Star Wars Story,Psychological Drama,
2016,2,Rogue One: A Star Wars Story,Quest,
2016,2,Rogue One: A Star Wars Story,Sci-Fi Epic,
2016,2,Rogue One: A Star Wars Story,Tragedy,
2016,2,Rogue One: A Star Wars Story,Action,
2016,3,Captain America: Civil War,Superhero,"$408,084,349"
2016,3,Captain America: Civil War,Action,
2016,3,Captain America: Civil War,Sci-Fi,
2016,4,The Secret Life of Pets,Animal Adventure,"$368,623,860"
2016,4,The Secret Life of Pets,Urban Adventure,
2016,4,The Secret Life of Pets,Adventure,
2016,4,The Secret Life of Pets,Animation,
2016,4,The Secret Life of Pets,Comedy,
