source,year,ceremony,title,genre
golden globes,2016,74,20th Century Women,Comedy
golden globes,2016,74,20th Century Women,Drama
golden globes,2016,74,20th Century Women,Period Drama
golden globes,2016,74,20th Century Women,Coming-of-Age
golden globes,2016,74,Arrival,Drama
golden globes,2016,74,Arrival,Mystery
golden globes,2016,74,Arrival,Sci-Fi
golden globes,2016,74,Arrival,Psychological Drama
golden globes,2016,74,Arrival,Epic
golden globes,2016,74,Captain Fantastic,Comedy
golden globes,2016,74,Captain Fantastic,Drama
golden globes,2016,74,Captain Fantastic,Adventure
golden globes,2016,74,Captain Fantastic,Coming-of-Age
golden globes,2016,74,Deadpool,Action
golden globes,2016,74,Deadpool,Comedy
golden globes,2016,74,Deadpool,Superhero
golden globes,2016,74,Deadpool,Sci-Fi
golden globes,2016,74,Deadpool,Gun Fu
golden globes,2016,74,Deadpool,Dark Comedy
golden globes,2016,74,Elle,Drama
golden globes,2016,74,Elle,Thriller
golden globes,2016,74,Elle,Psychological Drama
golden globes,2016,74,Elle,Psychological Thriller
golden globes,2016,74,Elle,Tragedy
golden globes,2016,74,Elle,Mystery
golden globes,2016,74,Elle,Crime
golden globes,2016,74,Fences,Drama
golden globes,2016,74,Fences,Period Drama
golden globes,2016,74,Florence Foster Jenkins,Biography
golden globes,2016,74,Florence Foster Jenkins,Comedy
golden globes,2016,74,Florence Foster Jenkins,Drama
golden globes,2016,74,Florence Foster Jenkins,Music
golden globes,2016,74,Hacksaw Ridge,Biography
golden globes,2016,74,Hacksaw Ridge,Drama
golden globes,2016,74,Hacksaw Ridge,History
golden globes,2016,74,Hacksaw Ridge,War
golden globes,2016,74,Hacksaw Ridge,Epic
golden globes,2016,74,Hacksaw Ridge,Period Drama
golden globes,2016,74,Hacksaw Ridge,Psychological Drama
golden globes,2016,74,Hell or High Water,Crime
golden globes,2016,74,Hell or High Water,Drama
golden globes,2016,74,Hell or High Water,Tragedy
golden globes,2016,74,Hell or High Water,Heist
golden globes,2016,74,Hell or High Water,Western
golden globes,2016,74,Hell or High Water,Thriller
golden globes,2016,74,Jackie,Biography
golden globes,2016,74,Jackie,Drama
golden globes,2016,74,Jackie,History
golden globes,2016,74,Jackie,Period Drama
golden globes,2016,74,Jackie,Psychological Drama
golden globes,2016,74,Jackie,Tragedy
golden globes,2016,74,La La Land,Comedy
golden globes,2016,74,La La Land,Drama
golden globes,2016,74,La La Land,Showbiz Drama
golden globes,2016,74,La La Land,Musical
golden globes,2016,74,La La Land,Romance
golden globes,2016,74,La La Land,Romantic Comedy
golden globes,2016,74,Lion,Biography
golden globes,2016,74,Lion,Drama
golden globes,2016,74,Lion,Coming-of-Age
golden globes,2016,74,Loving,Biography
golden globes,2016,74,Loving,Drama
golden globes,2016,74,Loving,Romance
golden globes,2016,74,Loving,Period Drama
golden globes,2016,74,Manchester by the Sea,Drama
golden globes,2016,74,Manchester by the Sea,Psychological Drama
golden globes,2016,74,Manchester by the Sea,Tragedy
golden globes,2016,74,Miss Sloane,Drama
golden globes,2016,74,Miss Sloane,Political Drama
golden globes,2016,74,Moonlight,Drama
golden globes,2016,74,Moonlight,Psychological Drama
golden globes,2016,74,Moonlight,Coming-of-Age
golden globes,2016,74,Nocturnal Animals,Drama
golden globes,2016,74,Nocturnal Animals,Thriller
golden globes,2016,74,Nocturnal Animals,Psychological Drama
golden globes,2016,74,Nocturnal Animals,Psychological Thriller
golden globes,2016,74,Nocturnal Animals,Tragedy
golden globes,2016,74,Rules Don't Apply,Comedy
golden globes,2016,74,Rules Don't Apply,Drama
golden globes,2016,74,Rules Don't Apply,Romance
golden globes,2016,74,Rules Don't Apply,Period Drama
golden globes,2016,74,Sing Street,Comedy
golden globes,2016,74,Sing Street,Drama
golden globes,2016,74,Sing Street,Music
golden globes,2016,74,Sing Street,Romance
golden globes,2016,74,Sing Street,Coming-of-Age
golden globes,2016,74,The Edge of Seventeen,Comedy
golden globes,2016,74,The Edge of Seventeen,Drama
golden globes,2016,74,The Edge of Seventeen,Coming-of-Age
golden globes,2016,74,The Edge of Seventeen,Psychological Drama
golden globes,2016,74,The Edge of Seventeen,Romance
golden globes,2016,74,The Lobster,Comedy
golden globes,2016,74,The Lobster,Drama
golden globes,2016,74,The Lobster,Romance
golden globes,2016,74,The Lobster,Sci-Fi
golden globes,2016,74,The Lobster,Dark Comedy
golden globes,2016,74,The Lobster,Thriller
golden globes,2016,74,War Dogs,Comedy
golden globes,2016,74,War Dogs,Crime
golden globes,2016,74,War Dogs,Drama
golden globes,2016,74,War Dogs,War
golden globes,2016,74,War Dogs,Dark Comedy
golden globes,2016,74,War Dogs,Biography
golden globes,2017,75,All The Money In The World,Biography
golden globes,2017,75,All The Money In The World,Crime
golden globes,2017,75,All The Money In The World,Drama
golden globes,2017,75,All The Money In The World,Period Drama
golden globes,2017,75,All The Money In The World,Thriller
golden globes,2017,75,All The Money In The World,Mystery
golden globes,2017,75,Baby Driver,Action
golden globes,2017,75,Baby Driver,Crime
golden globes,2017,75,Baby Driver,Drama
golden globes,2017,75,Baby Driver,Heist
golden globes,2017,75,Baby Driver,Music
golden globes,2017,75,Battle of the Sexes,Biography
golden globes,2017,75,Battle of the Sexes,Comedy
golden globes,2017,75,Battle of the Sexes,Drama
golden globes,2017,75,Battle of the Sexes,Sport
golden globes,2017,75,Battle of the Sexes,Period Drama
golden globes,2017,75,Call Me By Your Name,Drama
golden globes,2017,75,Call Me By Your Name,Romance
golden globes,2017,75,Call Me By Your Name,Coming-of-Age
golden globes,2017,75,Darkest Hour,Biography
golden globes,2017,75,Darkest Hour,Drama
golden globes,2017,75,Darkest Hour,History
golden globes,2017,75,Darkest Hour,War
golden globes,2017,75,Darkest Hour,Period Drama
golden globes,2017,75,"Disaster Artist, The",Biography
golden globes,2017,75,"Disaster Artist, The",Comedy
golden globes,2017,75,"Disaster Artist, The",Drama
golden globes,2017,75,"Disaster Artist, The",Dark Comedy
golden globes,2017,75,"Disaster Artist, The",Period Drama
golden globes,2017,75,Dunkirk,Action
golden globes,2017,75,Dunkirk,Drama
golden globes,2017,75,Dunkirk,History
golden globes,2017,75,Dunkirk,Thriller
golden globes,2017,75,Dunkirk,War
golden globes,2017,75,Dunkirk,Epic
golden globes,2017,75,Dunkirk,Period Drama
golden globes,2017,75,Get Out,Horror
golden globes,2017,75,Get Out,Mystery
golden globes,2017,75,Get Out,Thriller
golden globes,2017,75,Get Out,Psychological Thriller
golden globes,2017,75,Get Out,Psychological Horror
golden globes,2017,75,Get Out,Body Horror
golden globes,2017,75,"I, Tonya",Biography
golden globes,2017,75,"I, Tonya",Comedy
golden globes,2017,75,"I, Tonya",Drama
golden globes,2017,75,"I, Tonya",Sport
golden globes,2017,75,"I, Tonya",Dark Comedy
golden globes,2017,75,"I, Tonya",Period Drama
golden globes,2017,75,Lady Bird,Comedy
golden globes,2017,75,Lady Bird,Drama
golden globes,2017,75,Lady Bird,Coming-of-Age
golden globes,2017,75,"Leisure Seeker, The",Adventure
golden globes,2017,75,"Leisure Seeker, The",Comedy
golden globes,2017,75,"Leisure Seeker, The",Drama
golden globes,2017,75,"Leisure Seeker, The",Romance
golden globes,2017,75,Molly's Game,Biography
golden globes,2017,75,Molly's Game,Crime
golden globes,2017,75,Molly's Game,Drama
golden globes,2017,75,Phantom Thread,Drama
golden globes,2017,75,Phantom Thread,Romance
golden globes,2017,75,Phantom Thread,Epic
golden globes,2017,75,Phantom Thread,Period Drama
golden globes,2017,75,Phantom Thread,Psychological Drama
golden globes,2017,75,Phantom Thread,Dark Romance
golden globes,2017,75,"Roman J. Israel, Esq.",Crime
golden globes,2017,75,"Roman J. Israel, Esq.",Drama
golden globes,2017,75,"Roman J. Israel, Esq.",Thriller
golden globes,2017,75,The Greatest Showman,Biography
golden globes,2017,75,The Greatest Showman,Drama
golden globes,2017,75,The Greatest Showman,Musical
golden globes,2017,75,The Greatest Showman,Period Drama
golden globes,2017,75,The Greatest Showman,Showbiz Drama
golden globes,2017,75,The Post,Biography
golden globes,2017,75,The Post,Drama
golden globes,2017,75,The Post,History
golden globes,2017,75,The Post,Thriller
golden globes,2017,75,The Post,Period Drama
golden globes,2017,75,The Post,Psychological Drama
golden globes,2017,75,The Post,War
golden globes,2017,75,The Shape of Water,Adventure
golden globes,2017,75,The Shape of Water,Drama
golden globes,2017,75,The Shape of Water,Fantasy
golden globes,2017,75,The Shape of Water,Romance
golden globes,2017,75,The Shape of Water,Dark Romance
golden globes,2017,75,The Shape of Water,Period Drama
golden globes,2017,75,The Shape of Water,Fairy Tale
golden globes,2017,75,The Shape of Water,Psychological Drama
golden globes,2017,75,The Shape of Water,Sci-Fi
golden globes,2017,75,"Three Billboards Outside Ebbing, Missouri",Comedy
golden globes,2017,75,"Three Billboards Outside Ebbing, Missouri",Crime
golden globes,2017,75,"Three Billboards Outside Ebbing, Missouri",Drama
golden globes,2017,75,"Three Billboards Outside Ebbing, Missouri",Dark Comedy
golden globes,2017,75,"Three Billboards Outside Ebbing, Missouri",Psychological Drama
golden globes,2017,75,"Three Billboards Outside Ebbing, Missouri",Satire
golden globes,2017,75,Victoria & Abdul,Biography
golden globes,2017,75,Victoria & Abdul,Comedy
golden globes,2017,75,Victoria & Abdul,Drama
golden globes,2017,75,Victoria & Abdul,History
golden globes,2017,75,Victoria & Abdul,Period Drama
golden globes,2018,76,At Eternity's Gate,Biography
golden globes,2018,76,At Eternity's Gate,Drama
golden globes,2018,76,At Eternity's Gate,Period Drama
golden globes,2018,76,At Eternity's Gate,Psychological Drama
golden globes,2018,76,Black Panther,Action
golden globes,2018,76,Black Panther,Adventure
golden globes,2018,76,Black Panther,Sci-Fi
golden globes,2018,76,Black Panther,Superhero
golden globes,2018,76,BlacKkKlansman,Biography
golden globes,2018,76,BlacKkKlansman,Comedy
golden globes,2018,76,BlacKkKlansman,Crime
golden globes,2018,76,BlacKkKlansman,Drama
golden globes,2018,76,BlacKkKlansman,Period Drama
golden globes,2018,76,BlacKkKlansman,Psychological Drama
golden globes,2018,76,Bohemian Rhapsody,Biography
golden globes,2018,76,Bohemian Rhapsody,Drama
golden globes,2018,76,Bohemian Rhapsody,Music
golden globes,2018,76,Bohemian Rhapsody,Period Drama
golden globes,2018,76,Bohemian Rhapsody,Showbiz Drama
golden globes,2018,76,Boy Erased,Biography
golden globes,2018,76,Boy Erased,Drama
golden globes,2018,76,Boy Erased,Coming-of-Age
golden globes,2018,76,Boy Erased,Psychological Drama
golden globes,2018,76,Can You Ever Forgive Me?,Biography
golden globes,2018,76,Can You Ever Forgive Me?,Comedy
golden globes,2018,76,Can You Ever Forgive Me?,Crime
golden globes,2018,76,Can You Ever Forgive Me?,Drama
golden globes,2018,76,Can You Ever Forgive Me?,Period Drama
golden globes,2018,76,Crazy Rich Asians,Comedy
golden globes,2018,76,Crazy Rich Asians,Drama
golden globes,2018,76,Crazy Rich Asians,Romance
golden globes,2018,76,Crazy Rich Asians,Romantic Comedy
golden globes,2018,76,Destroyer,Action
golden globes,2018,76,Destroyer,Crime
golden globes,2018,76,Destroyer,Drama
golden globes,2018,76,Destroyer,Mystery
golden globes,2018,76,Destroyer,Thriller
golden globes,2018,76,Eighth Grade,Comedy
golden globes,2018,76,Eighth Grade,Drama
golden globes,2018,76,Eighth Grade,Coming-of-Age
golden globes,2018,76,"Favourite, The",Biography
golden globes,2018,76,"Favourite, The",Comedy
golden globes,2018,76,"Favourite, The",Drama
golden globes,2018,76,"Favourite, The",History
golden globes,2018,76,"Favourite, The",Dark Comedy
golden globes,2018,76,"Favourite, The",Period Drama
golden globes,2018,76,"Favourite, The",Psychological Drama
golden globes,2018,76,Green Book,Biography
golden globes,2018,76,Green Book,Comedy
golden globes,2018,76,Green Book,Drama
golden globes,2018,76,Green Book,Period Drama
golden globes,2018,76,Green Book,Music
golden globes,2018,76,If Beale Street Could Talk,Drama
golden globes,2018,76,If Beale Street Could Talk,Romance
golden globes,2018,76,If Beale Street Could Talk,Period Drama
golden globes,2018,76,Mary Poppins Returns,Comedy
golden globes,2018,76,Mary Poppins Returns,Family
golden globes,2018,76,Mary Poppins Returns,Fantasy
golden globes,2018,76,Mary Poppins Returns,Musical
golden globes,2018,76,Mary Poppins Returns,Adventure
golden globes,2018,76,"Old Man & the Gun, The",Biography
golden globes,2018,76,"Old Man & the Gun, The",Comedy
golden globes,2018,76,"Old Man & the Gun, The",Crime
golden globes,2018,76,"Old Man & the Gun, The",Drama
golden globes,2018,76,"Old Man & the Gun, The",Heist
golden globes,2018,76,"Old Man & the Gun, The",Romance
golden globes,2018,76,"Private War, A",Biography
golden globes,2018,76,"Private War, A",Drama
golden globes,2018,76,"Private War, A",War
golden globes,2018,76,Roma,Drama
golden globes,2018,76,Roma,Period Drama
golden globes,2018,76,Roma,Psychological Drama
golden globes,2018,76,Stan & Ollie,Biography
golden globes,2018,76,Stan & Ollie,Comedy
golden globes,2018,76,Stan & Ollie,Drama
golden globes,2018,76,Stan & Ollie,Family
golden globes,2018,76,Stan & Ollie,History
golden globes,2018,76,"Star Is Born, A (2018)",Drama
golden globes,2018,76,"Star Is Born, A (2018)",Music
golden globes,2018,76,"Star Is Born, A (2018)",Romance
golden globes,2018,76,"Star Is Born, A (2018)",Epic
golden globes,2018,76,"Star Is Born, A (2018)",Showbiz Drama
golden globes,2018,76,"Star Is Born, A (2018)",Tragedy
golden globes,2018,76,Tully,Comedy
golden globes,2018,76,Tully,Drama
golden globes,2018,76,Tully,Coming-of-Age
golden globes,2018,76,Tully,Mystery
golden globes,2018,76,Vice,Biography
golden globes,2018,76,Vice,Comedy
golden globes,2018,76,Vice,Drama
golden globes,2018,76,Vice,History
golden globes,2018,76,Vice,Dark Comedy
golden globes,2018,76,Vice,Period Drama
golden globes,2018,76,Vice,Satire
golden globes,2018,76,"Wife, The",Drama
golden globes,2018,76,"Wife, The",Psychological Drama
golden globes,2018,76,"Wife, The",Showbiz Drama
golden globes,2019,77,1917,Action
golden globes,2019,77,1917,Drama
golden globes,2019,77,1917,War
golden globes,2019,77,1917,Epic
golden globes,2019,77,1917,Period Drama
golden globes,2019,77,Bombshell,Biography
golden globes,2019,77,Bombshell,Drama
golden globes,2019,77,Booksmart,Comedy
golden globes,2019,77,Booksmart,Coming-of-Age
golden globes,2019,77,Dolemite Is My Name,Biography
golden globes,2019,77,Dolemite Is My Name,Comedy
golden globes,2019,77,Dolemite Is My Name,Drama
golden globes,2019,77,Dolemite Is My Name,Period Drama
golden globes,2019,77,Dolemite Is My Name,Showbiz Drama
golden globes,2019,77,"Farewell, The",Comedy
golden globes,2019,77,"Farewell, The",Drama
golden globes,2019,77,"Farewell, The",Coming-of-Age
golden globes,2019,77,Ford v Ferrari,Action
golden globes,2019,77,Ford v Ferrari,Biography
golden globes,2019,77,Ford v Ferrari,Drama
golden globes,2019,77,Ford v Ferrari,Sport
golden globes,2019,77,Ford v Ferrari,Period Drama
golden globes,2019,77,Harriet,Biography
golden globes,2019,77,Harriet,Drama
golden globes,2019,77,Harriet,History
golden globes,2019,77,Harriet,Action
golden globes,2019,77,Harriet,Period Drama
golden globes,2019,77,"Irishman, The",Biography
golden globes,2019,77,"Irishman, The",Crime
golden globes,2019,77,"Irishman, The",Drama
golden globes,2019,77,"Irishman, The",Epic
golden globes,2019,77,"Irishman, The",Period Drama
golden globes,2019,77,"Irishman, The",Psychological Thriller
golden globes,2019,77,Jojo Rabbit,Comedy
golden globes,2019,77,Jojo Rabbit,Drama
golden globes,2019,77,Jojo Rabbit,War
golden globes,2019,77,Jojo Rabbit,Coming-of-Age
golden globes,2019,77,Jojo Rabbit,Dark Comedy
golden globes,2019,77,Jojo Rabbit,Period Drama
golden globes,2019,77,Jojo Rabbit,Psychological Drama
golden globes,2019,77,Jojo Rabbit,Satire
golden globes,2019,77,Joker,Crime
golden globes,2019,77,Joker,Drama
golden globes,2019,77,Joker,Thriller
golden globes,2019,77,Joker,Period Drama
golden globes,2019,77,Joker,Psychological Drama
golden globes,2019,77,Joker,Psychological Thriller
golden globes,2019,77,Joker,Tragedy
golden globes,2019,77,Judy,Biography
golden globes,2019,77,Judy,Drama
golden globes,2019,77,Judy,Music
golden globes,2019,77,Judy,Period Drama
golden globes,2019,77,Judy,Music
golden globes,2019,77,Knives Out,Comedy
golden globes,2019,77,Knives Out,Crime
golden globes,2019,77,Knives Out,Drama
golden globes,2019,77,Knives Out,Mystery
golden globes,2019,77,Knives Out,Thriller
golden globes,2019,77,Knives Out,Satire
golden globes,2019,77,Late Night,Comedy
golden globes,2019,77,Late Night,Drama
golden globes,2019,77,Late Night,Satire
golden globes,2019,77,Little Women,Drama
golden globes,2019,77,Little Women,Romance
golden globes,2019,77,Little Women,Coming-of-Age
golden globes,2019,77,Little Women,Epic
golden globes,2019,77,Little Women,Period Drama
golden globes,2019,77,Marriage Story,Comedy
golden globes,2019,77,Marriage Story,Drama
golden globes,2019,77,Marriage Story,Romance
golden globes,2019,77,Marriage Story,Epic
golden globes,2019,77,Marriage Story,Psychological Drama
golden globes,2019,77,Once Upon a Time...in Hollywood,Comedy
golden globes,2019,77,Once Upon a Time...in Hollywood,Drama
golden globes,2019,77,Once Upon a Time...in Hollywood,Period Drama
golden globes,2019,77,Once Upon a Time...in Hollywood,Showbiz Drama
golden globes,2019,77,Pain and Glory,Drama
golden globes,2019,77,Parasite,Drama
golden globes,2019,77,Parasite,Thriller
golden globes,2019,77,Parasite,Dark Comedy
golden globes,2019,77,Parasite,Psychological Drama
golden globes,2019,77,Parasite,Psychological Thriller
golden globes,2019,77,Parasite,Tragedy
golden globes,2019,77,Rocketman,Biography
golden globes,2019,77,Rocketman,Drama
golden globes,2019,77,Rocketman,Music
golden globes,2019,77,Rocketman,Showbiz Drama
golden globes,2019,77,Rocketman,Musical
golden globes,2019,77,"Two Popes, The",Biography
golden globes,2019,77,"Two Popes, The",Psychological Drama
golden globes,2019,77,"Two Popes, The",Drama
golden globes,2019,77,"Where'd You Go, Bernadette",Mystery
golden globes,2019,77,"Where'd You Go, Bernadette",Comedy
golden globes,2019,77,"Where'd You Go, Bernadette",Drama
golden globes,2019,77,"Where'd You Go, Bernadette",Crime
golden globes,2020,78,Borat Subsequent Moviefilm,Comedy
golden globes,2020,78,Borat Subsequent Moviefilm,Satire
golden globes,2020,78,Borat Subsequent Moviefilm,Parody
golden globes,2020,78,Borat Subsequent Moviefilm,Mockumentary
golden globes,2020,78,Emma.,Comedy
golden globes,2020,78,Emma.,Drama
golden globes,2020,78,Emma.,Romance
golden globes,2020,78,Emma.,Coming-of-Age
golden globes,2020,78,Emma.,Period Drama
golden globes,2020,78,Emma.,Romantic Comedy
golden globes,2020,78,"Father, The",Drama
golden globes,2020,78,"Father, The",Mystery
golden globes,2020,78,"Father, The",Psychological Drama
golden globes,2020,78,French Exit,Comedy
golden globes,2020,78,French Exit,Drama
golden globes,2020,78,French Exit,Dark Comedy
golden globes,2020,78,Hamilton,Biography
golden globes,2020,78,Hamilton,Drama
golden globes,2020,78,Hamilton,History
golden globes,2020,78,Hamilton,Musical
golden globes,2020,78,Hamilton,Epic
golden globes,2020,78,I Care A Lot,Comedy
golden globes,2020,78,I Care A Lot,Crime
golden globes,2020,78,I Care A Lot,Drama
golden globes,2020,78,I Care A Lot,Thriller
golden globes,2020,78,I Care A Lot,Dark Comedy
golden globes,2020,78,I Care A Lot,Psychological Drama
golden globes,2020,78,Ma Rainey's Black Bottom,Drama
golden globes,2020,78,Ma Rainey's Black Bottom,Music
golden globes,2020,78,Ma Rainey's Black Bottom,Period Drama
golden globes,2020,78,Mank,Biography
golden globes,2020,78,Mank,Comedy
golden globes,2020,78,Mank,Drama
golden globes,2020,78,Mank,Period Drama
golden globes,2020,78,Mank,Showbiz Drama
golden globes,2020,78,"Mauritanian, The",Biography
golden globes,2020,78,"Mauritanian, The",Drama
golden globes,2020,78,"Mauritanian, The",Thriller
golden globes,2020,78,Music,Drama
golden globes,2020,78,Music,Musical
golden globes,2020,78,Music,Psychological Drama
golden globes,2020,78,Music,Psychological Thriller
golden globes,2020,78,Music,Thriller
golden globes,2020,78,Nomadland,Drama
golden globes,2020,78,Nomadland,Tragedy
golden globes,2020,78,One Night in Miami...,Drama
golden globes,2020,78,Palm Springs,Comedy
golden globes,2020,78,Palm Springs,Fantasy
golden globes,2020,78,Palm Springs,Mystery
golden globes,2020,78,Palm Springs,Romance
golden globes,2020,78,Palm Springs,Sci-Fi
golden globes,2020,78,Palm Springs,Romantic Comedy
golden globes,2020,78,"Personal History of David Copperfield, The",Comedy
golden globes,2020,78,"Personal History of David Copperfield, The",Drama
golden globes,2020,78,"Personal History of David Copperfield, The",Coming-of-Age
golden globes,2020,78,"Personal History of David Copperfield, The",Period Drama
golden globes,2020,78,Pieces of a Woman,Drama
golden globes,2020,78,Pieces of a Woman,Psychological Drama
golden globes,2020,78,"Prom, The",Comedy
golden globes,2020,78,"Prom, The",Drama
golden globes,2020,78,"Prom, The",Musical
golden globes,2020,78,"Prom, The",Satire
golden globes,2020,78,Promising Young Woman,Crime
golden globes,2020,78,Promising Young Woman,Drama
golden globes,2020,78,Promising Young Woman,Thriller
golden globes,2020,78,Promising Young Woman,Psychological Thriller
golden globes,2020,78,Promising Young Woman,Tragedy
golden globes,2020,78,Promising Young Woman,Mystery
golden globes,2020,78,Sound of Metal,Drama
golden globes,2020,78,Sound of Metal,Music
golden globes,2020,78,Sound of Metal,Psychological Drama
golden globes,2020,78,Sound of Metal,Tragedy
golden globes,2020,78,"Trial of the Chicago 7, The",Drama
golden globes,2020,78,"Trial of the Chicago 7, The",History
golden globes,2020,78,"Trial of the Chicago 7, The",Thriller
golden globes,2020,78,"United States vs. Billie Holiday, The",Biography
golden globes,2020,78,"United States vs. Billie Holiday, The",Drama
golden globes,2020,78,"United States vs. Billie Holiday, The",History
golden globes,2020,78,"United States vs. Billie Holiday, The",Music
golden globes,2021,79,Annette,Drama
golden globes,2021,79,Annette,Musical
golden globes,2021,79,Annette,Romance
golden globes,2021,79,Annette,Psychological Drama
golden globes,2021,79,Being the Ricardos,Biography
golden globes,2021,79,Being the Ricardos,Drama
golden globes,2021,79,Being the Ricardos,Period Drama
golden globes,2021,79,Being the Ricardos,Showbiz Drama
golden globes,2021,79,Belfast,Biography
golden globes,2021,79,Belfast,Drama
golden globes,2021,79,Belfast,Coming-of-Age
golden globes,2021,79,Belfast,Period Drama
golden globes,2021,79,CODA,Comedy
golden globes,2021,79,CODA,Drama
golden globes,2021,79,CODA,Music
golden globes,2021,79,CODA,Coming-of-Age
golden globes,2021,79,Cruella,Comedy
golden globes,2021,79,Cruella,Crime
golden globes,2021,79,Cruella,Dark Comedy
golden globes,2021,79,Cruella,Drama
golden globes,2021,79,Cyrano,Drama
golden globes,2021,79,Cyrano,Musical
golden globes,2021,79,Cyrano,Romance
golden globes,2021,79,Cyrano,Period Drama
golden globes,2021,79,Don't Look Up,Comedy
golden globes,2021,79,Don't Look Up,Drama
golden globes,2021,79,Don't Look Up,Sci-Fi
