Source,Year,Ceremony,title,genre
oscars,2016,89th,Manchester by the Sea,Drama
oscars,2016,89th,Manchester by the Sea,Psychological Drama
oscars,2016,89th,Manchester by the Sea,Tragedy
oscars,2016,89th,Hacksaw Ridge,Biography
oscars,2016,89th,Hacksaw Ridge,Drama
oscars,2016,89th,Hacksaw Ridge,History
oscars,2016,89th,Hacksaw Ridge,War
oscars,2016,89th,Hacksaw Ridge,Epic
oscars,2016,89th,Hacksaw Ridge,Period Drama
oscars,2016,89th,Hacksaw Ridge,Psychological Drama
oscars,2016,89th,La La Land,Comedy
oscars,2016,89th,La La Land,Drama
oscars,2016,89th,La La Land,Showbiz Drama
oscars,2016,89th,La La Land,Musical
oscars,2016,89th,La La Land,Romance
oscars,2016,89th,La La Land,Romantic Comedy
oscars,2016,89th,Captain Fantastic,Comedy
oscars,2016,89th,Captain Fantastic,Drama
oscars,2016,89th,Captain Fantastic,Adventure
oscars,2016,89th,Captain Fantastic,Coming-of-Age
oscars,2016,89th,Fences,Drama
oscars,2016,89th,Fences,Period Drama
oscars,2016,89th,Elle,Drama
oscars,2016,89th,Elle,Thriller
oscars,2016,89th,Elle,Psychological Drama
oscars,2016,89th,Elle,Psychological Thriller
oscars,2016,89th,Elle,Tragedy
oscars,2016,89th,Elle,Mystery
oscars,2016,89th,Elle,Crime
oscars,2016,89th,Loving,Biography
oscars,2016,89th,Loving,Drama
oscars,2016,89th,Loving,Romance
oscars,2016,89th,Loving,Period Drama
oscars,2016,89th,Jackie,Biography
oscars,2016,89th,Jackie,Drama
oscars,2016,89th,Jackie,History
oscars,2016,89th,Jackie,Period Drama
oscars,2016,89th,Jackie,Psychological Drama
oscars,2016,89th,Jackie,Tragedy
oscars,2016,89th,Florence Foster Jenkins,Biography
oscars,2016,89th,Florence Foster Jenkins,Comedy
oscars,2016,89th,Florence Foster Jenkins,Drama
oscars,2016,89th,Florence Foster Jenkins,Music
oscars,2016,89th,Arrival,Drama
oscars,2016,89th,Arrival,Mystery
oscars,2016,89th,Arrival,Sci-Fi
oscars,2016,89th,Arrival,Psychological Drama
oscars,2016,89th,Arrival,Epic
oscars,2016,89th,Moonlight,Drama
oscars,2016,89th,Moonlight,Psychological Drama
oscars,2016,89th,Moonlight,Coming-of-Age
oscars,2016,89th,Hell or High Water,Crime
oscars,2016,89th,Hell or High Water,Drama
oscars,2016,89th,Hell or High Water,Tragedy
oscars,2016,89th,Hell or High Water,Heist
oscars,2016,89th,Hell or High Water,Western
oscars,2016,89th,Hell or High Water,Thriller
oscars,2016,89th,Hidden Figures,Biography
oscars,2016,89th,Hidden Figures,Drama
oscars,2016,89th,Hidden Figures,History
oscars,2016,89th,Hidden Figures,Period Drama
oscars,2016,89th,Lion,Biography
oscars,2016,89th,Lion,Drama
oscars,2016,89th,Lion,Coming-of-Age
oscars,2016,89th,The Lobster,Comedy
oscars,2016,89th,The Lobster,Drama
oscars,2016,89th,The Lobster,Romance
oscars,2016,89th,The Lobster,Sci-Fi
oscars,2016,89th,The Lobster,Dark Comedy
oscars,2016,89th,The Lobster,Thriller
oscars,2016,89th,20th Century Women,Comedy
oscars,2016,89th,20th Century Women,Drama
oscars,2016,89th,20th Century Women,Period Drama
oscars,2016,89th,20th Century Women,Coming-of-Age
oscars,2017,90th,Call Me By Your Name,Drama
oscars,2017,90th,Call Me By Your Name,Romance
oscars,2017,90th,Call Me By Your Name,Coming-of-Age
oscars,2017,90th,Phantom Thread,Drama
oscars,2017,90th,Phantom Thread,Romance
oscars,2017,90th,Phantom Thread,Epic
oscars,2017,90th,Phantom Thread,Period Drama
oscars,2017,90th,Phantom Thread,Psychological Drama
oscars,2017,90th,Phantom Thread,Dark Romance
oscars,2017,90th,Get Out,Horror
oscars,2017,90th,Get Out,Mystery
oscars,2017,90th,Get Out,Thriller
oscars,2017,90th,Get Out,Psychological Thriller
oscars,2017,90th,Get Out,Psychological Horror
oscars,2017,90th,Get Out,Body Horror
oscars,2017,90th,Darkest Hour,Biography
oscars,2017,90th,Darkest Hour,Drama
oscars,2017,90th,Darkest Hour,History
oscars,2017,90th,Darkest Hour,War
oscars,2017,90th,Darkest Hour,Period Drama
oscars,2017,90th,"Roman J. Israel, Esq.",Crime
oscars,2017,90th,"Roman J. Israel, Esq.",Drama
oscars,2017,90th,"Roman J. Israel, Esq.",Thriller
oscars,2017,90th,"Three Billboards outside Ebbing, Missouri",Comedy
oscars,2017,90th,"Three Billboards outside Ebbing, Missouri",Crime
oscars,2017,90th,"Three Billboards outside Ebbing, Missouri",Drama
oscars,2017,90th,"Three Billboards outside Ebbing, Missouri",Dark Comedy
oscars,2017,90th,"Three Billboards outside Ebbing, Missouri",Psychological Drama
oscars,2017,90th,"Three Billboards outside Ebbing, Missouri",Satire
oscars,2017,90th,"I, Tonya",Biography
oscars,2017,90th,"I, Tonya",Comedy
oscars,2017,90th,"I, Tonya",Drama
oscars,2017,90th,"I, Tonya",Sport
oscars,2017,90th,"I, Tonya",Dark Comedy
oscars,2017,90th,"I, Tonya",Period Drama
oscars,2017,90th,Lady Bird,Comedy
oscars,2017,90th,Lady Bird,Drama
oscars,2017,90th,Lady Bird,Coming-of-Age
oscars,2017,90th,The Shape of Water,Adventure
oscars,2017,90th,The Shape of Water,Drama
oscars,2017,90th,The Shape of Water,Fantasy
oscars,2017,90th,The Shape of Water,Romance
oscars,2017,90th,The Shape of Water,Dark Romance
oscars,2017,90th,The Shape of Water,Period Drama
oscars,2017,90th,The Shape of Water,Fairy Tale
oscars,2017,90th,The Shape of Water,Psychological Drama
oscars,2017,90th,The Shape of Water,Sci-Fi
oscars,2017,90th,The Post,Biography
oscars,2017,90th,The Post,Drama
oscars,2017,90th,The Post,History
oscars,2017,90th,The Post,Thriller
oscars,2017,90th,The Post,Period Drama
oscars,2017,90th,The Post,Psychological Drama
oscars,2017,90th,The Post,War
oscars,2017,90th,Dunkirk,Action
oscars,2017,90th,Dunkirk,Drama
oscars,2017,90th,Dunkirk,History
oscars,2017,90th,Dunkirk,Thriller
oscars,2017,90th,Dunkirk,War
oscars,2017,90th,Dunkirk,Epic
oscars,2017,90th,Dunkirk,Period Drama
oscars,2017,90th,The Disaster Artist,Biography
oscars,2017,90th,The Disaster Artist,Comedy
oscars,2017,90th,The Disaster Artist,Drama
oscars,2017,90th,The Disaster Artist,Dark Comedy
oscars,2017,90th,The Disaster Artist,Period Drama
oscars,2017,90th,Logan,Action
oscars,2017,90th,Logan,Drama
oscars,2017,90th,Logan,Sci-Fi
oscars,2017,90th,Logan,Psychological Drama
oscars,2017,90th,Logan,Psychological Thriller
oscars,2017,90th,Logan,Quest
oscars,2017,90th,Logan,Superhero
oscars,2017,90th,Logan,Tragedy
oscars,2017,90th,Molly's Game,Biography
oscars,2017,90th,Molly's Game,Crime
oscars,2017,90th,Molly's Game,Drama
oscars,2017,90th,Mudbound,Drama
oscars,2017,90th,Mudbound,War
oscars,2017,90th,Mudbound,Period Drama
oscars,2017,90th,The Big Sick,Comedy
oscars,2017,90th,The Big Sick,Drama
oscars,2017,90th,The Big Sick,Romance
oscars,2017,90th,The Big Sick,Romantic Comedy
oscars,2018,91st,Vice,Comedy
oscars,2018,91st,Vice,Drama
oscars,2018,91st,Vice,History
oscars,2018,91st,Vice,Dark Comedy
oscars,2018,91st,Vice,Period Drama
oscars,2018,91st,Vice,Satire
oscars,2018,91st,A Star Is Born,Drama
oscars,2018,91st,A Star Is Born,Music
oscars,2018,91st,A Star Is Born,Romance
oscars,2018,91st,A Star Is Born,Epic
oscars,2018,91st,A Star Is Born,Showbiz Drama
oscars,2018,91st,A Star Is Born,Tragedy
oscars,2018,91st,At Eternity's Gate,Biography
oscars,2018,91st,At Eternity's Gate,Drama
oscars,2018,91st,At Eternity's Gate,Period Drama
oscars,2018,91st,At Eternity's Gate,Psychological Drama
oscars,2018,91st,Bohemian Rhapsody,Biography
oscars,2018,91st,Bohemian Rhapsody,Drama
oscars,2018,91st,Bohemian Rhapsody,Music
